code_April_2020,previous_practice_codes,fm_1000_code_2020,lm_1000_code_2020,fm_1000_previous_codes,lm_1000_previous_codes
H85103,H85103,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85105,H85105,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85653,H85108,01/04/2013,01/04/2022,01/04/2013,01/07/2013
H85110,H85110,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85111,H85111,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85112,H85112,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85113,H85113,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85114,H85114,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85115,H85115,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85116,H85116,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85618,H85618,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85634,H85634,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85637,H85637,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85682,H85643,01/04/2013,01/04/2022,01/04/2013,01/05/2017
H85649,H85649,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85653,H85653,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85656,H85656,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85659,H85659,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85662,H85662,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85664,H85664,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85665,H85665,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85115,H85674,01/04/2013,01/04/2022,01/04/2013,01/10/2016
H85680,H85680,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85682,H85682,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85683,H85683,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85686,H85686,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85693,H85693,01/04/2013,01/04/2022,01/04/2013,01/04/2022
H85695,H85695,01/04/2013,01/11/2021,01/04/2013,01/11/2021
J81002,J81002,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81003,J81003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81004,J81004,01/04/2013,01/07/2021,01/04/2013,01/07/2021
J81005,J81005,01/04/2013,01/04/2021,01/04/2013,01/04/2021
J81006,J81006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81009,J81009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81010,J81010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81011,J81011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81012,J81012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81013,J81013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81014,J81014,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81016,J81016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81017,J81017,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81018,J81018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81019,J81019,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81020,J81020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81021,J81021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81022,J81022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81021,J81024,01/04/2013,01/04/2022,01/04/2013,01/01/2017
J81025,J81025,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81620,J81026,01/04/2013,01/04/2022,01/04/2013,01/07/2015
J81027,J81027,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81028,J81028,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81029,J81029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81030,J81030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81031,J81031,01/04/2013,01/09/2019,01/04/2013,01/09/2019
J81032,J81032,01/04/2013,01/06/2019,01/04/2013,01/06/2019
J81033,J81033,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81034,J81034,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81035,J81035,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81036,J81036,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81033,J81038,01/04/2013,01/04/2022,01/04/2013,01/01/2017
J81039,J81039,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81040,J81040,01/04/2013,01/11/2018,01/04/2013,01/11/2018
J81041,J81041,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81042,J81042,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81056,J81043,01/04/2013,01/04/2022,01/04/2013,01/09/2017
J81044,J81044,01/04/2013,01/07/2021,01/04/2013,01/07/2021
J81045,J81045,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81046,J81046,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81047,J81047,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81048,J81048,01/04/2013,01/07/2021,01/04/2013,01/07/2021
J81049,J81049,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81056,J81050,01/04/2013,01/04/2022,01/04/2013,01/10/2017
J81051,J81051,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81052,J81052,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81053,J81053,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81054,J81054,01/04/2013,01/07/2021,01/04/2013,01/07/2021
J81055,J81055,01/04/2013,01/03/2019,01/04/2013,01/03/2019
J81056,J81056,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81057,J81057,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81058,J81058,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81059,J81059,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81061,J81061,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81062,J81062,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81045,J81063,01/04/2013,01/04/2022,01/04/2013,01/10/2017
J81064,J81064,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81012,J81065,01/04/2013,01/04/2022,01/04/2013,01/04/2017
J81066,J81066,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81067,J81067,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81068,J81068,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81069,J81069,01/04/2013,01/06/2019,01/04/2013,01/06/2019
J81070,J81070,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81071,J81071,01/04/2013,01/09/2020,01/04/2013,01/09/2020
J81072,J81072,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81073,J81073,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81074,J81074,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81075,J81075,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81076,J81076,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81077,J81077,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81078,J81078,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81081,J81081,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81082,J81082,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81083,J81083,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81086,J81086,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81087,J81087,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81051,J81090,01/04/2013,01/04/2022,01/04/2013,01/08/2017
J81609,J81609,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81612,J81612,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81613,J81613,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81616,J81616,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81620,J81620,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81621,J81621,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81068,J81623,01/04/2013,01/04/2022,01/04/2013,01/07/2015
J81634,J81624,01/04/2013,01/04/2022,01/04/2013,01/01/2017
J81625,J81625,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81626,J81626,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81628,J81628,01/04/2013,01/04/2021,01/04/2013,01/04/2021
J81631,J81631,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81044,J81632,01/04/2013,01/07/2021,01/04/2013,01/10/2017
J81633,J81633,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81634,J81634,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81637,J81637,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81634,J81640,01/04/2013,01/04/2022,01/04/2013,01/07/2016
J81644,J81644,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81645,J81645,01/04/2013,01/09/2017,01/04/2013,01/09/2017
J81646,J81646,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81647,J81647,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J81648,J81648,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82001,J82001,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82002,J82002,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82004,J82004,01/04/2013,01/07/2017,01/04/2013,01/07/2017
J82005,J82005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82006,J82006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82007,J82007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82008,J82008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82009,J82009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82010,J82010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82012,J82012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82010,J82014,01/04/2013,01/04/2022,01/04/2013,01/04/2013
J82015,J82015,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82016,J82016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82017,J82017,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82018,J82018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82019,J82019,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82020,J82020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82021,J82021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82022,J82022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82023,J82023,01/04/2013,01/09/2021,01/04/2013,01/09/2021
J82024,J82024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82025,J82025,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82026,J82026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82098,J82027,01/04/2013,01/04/2022,01/04/2013,01/04/2017
J82028,J82028,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82029,J82029,01/04/2013,01/05/2020,01/04/2013,01/05/2020
J82066,J82030,01/04/2013,01/04/2022,01/04/2013,01/06/2018
J82155,J82031,01/04/2013,01/04/2022,01/04/2013,01/04/2014
J82196,J82032,01/04/2013,01/04/2022,01/04/2013,01/04/2015
J82033,J82033,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82034,J82034,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82035,J82035,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82036,J82036,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82134,J82037,01/04/2013,01/04/2022,01/04/2013,01/04/2014
J82102,J82038,01/04/2013,01/04/2022,01/04/2013,01/10/2015
J82039,J82039,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82040,J82040,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82041,J82041,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82042,J82042,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82044,J82044,01/04/2013,01/09/2021,01/04/2013,01/09/2021
J82639,J82046,01/04/2013,01/04/2022,01/04/2013,01/10/2018
J82049,J82049,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82050,J82050,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82051,J82051,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82049,J82052,01/04/2013,01/04/2022,01/04/2013,01/04/2016
J82053,J82053,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82054,J82054,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82055,J82055,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82056,J82056,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82058,J82058,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82059,J82059,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82060,J82060,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82061,J82061,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82062,J82062,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82063,J82063,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82064,J82064,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82069,J82065,01/04/2013,01/04/2022,01/04/2013,01/07/2018
J82066,J82066,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82067,J82067,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82069,J82069,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82071,J82071,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82072,J82072,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82073,J82073,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82074,J82074,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82075,J82075,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82076,J82076,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82077,J82077,01/04/2013,01/04/2021,01/04/2013,01/04/2021
J82079,J82079,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82080,J82080,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82081,J82081,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82082,J82082,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82083,J82083,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82084,J82084,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82085,J82085,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82155,J82086,01/04/2013,01/04/2022,01/04/2013,01/01/2017
J82087,J82087,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82088,J82088,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82089,J82089,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82090,J82090,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82194,J82091,01/04/2013,01/04/2022,01/04/2013,01/01/2017
J82092,J82092,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82134,J82093,01/04/2013,01/04/2022,01/04/2013,01/04/2016
J82094,J82094,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82077,J82096,01/04/2013,01/04/2021,01/04/2013,01/04/2016
J82112,J82097,01/04/2013,01/04/2022,01/04/2013,01/07/2019
J82098,J82098,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82099,J82099,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82083,J82100,01/04/2013,01/04/2022,01/04/2013,01/04/2017
J82101,J82101,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82102,J82102,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82103,J82103,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82104,J82104,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82106,J82106,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82110,J82110,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82112,J82112,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82083,J82113,01/04/2013,01/04/2022,01/04/2013,01/04/2017
J82114,J82114,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82115,J82115,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82116,J82116,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82117,J82117,01/04/2013,01/05/2020,01/04/2013,01/05/2020
J82119,J82119,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82120,J82120,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82121,J82121,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82122,J82122,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82069,J82123,01/04/2013,01/04/2022,01/04/2013,01/07/2018
J82124,J82124,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82125,J82125,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82126,J82126,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82083,J82127,01/04/2013,01/04/2022,01/04/2013,01/04/2017
J82128,J82128,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82129,J82129,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82130,J82130,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82131,J82131,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82132,J82132,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82133,J82133,01/04/2013,01/12/2020,01/04/2013,01/12/2020
J82134,J82134,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82135,J82135,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82136,J82136,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82138,J82138,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82139,J82139,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82141,J82141,01/04/2013,01/10/2019,01/04/2013,01/10/2019
J82142,J82142,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82143,J82143,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82144,J82144,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82145,J82145,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82146,J82146,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82147,J82147,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82149,J82149,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82150,J82150,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82151,J82151,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82152,J82152,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82154,J82154,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82155,J82155,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82156,J82156,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82157,J82157,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82194,J82159,01/04/2013,01/04/2022,01/04/2013,01/07/2014
J82161,J82161,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82163,J82163,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82164,J82164,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82165,J82165,01/04/2013,01/06/2019,01/04/2013,01/06/2019
J82166,J82166,01/04/2013,01/04/2020,01/04/2013,01/04/2020
J82633,J82167,01/04/2013,01/04/2022,01/04/2013,01/10/2014
J82028,J82168,01/04/2013,01/04/2022,01/04/2013,01/04/2016
J82169,J82169,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82622,J82171,01/04/2013,01/04/2022,01/04/2013,01/11/2017
J82174,J82174,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82055,J82175,01/04/2013,01/04/2022,01/04/2013,01/04/2015
J82177,J82177,01/04/2013,01/07/2020,01/04/2013,01/07/2020
J82178,J82178,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82180,J82180,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82181,J82181,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82076,J82182,01/04/2013,01/04/2022,01/04/2013,01/04/2015
J82183,J82183,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82184,J82184,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82145,J82186,01/04/2013,01/04/2022,01/04/2013,01/07/2014
J82622,J82187,01/04/2013,01/04/2022,01/04/2013,01/11/2017
J82188,J82188,01/04/2013,01/10/2021,01/04/2013,01/10/2021
J82019,J82190,01/04/2013,01/04/2022,01/04/2013,01/12/2017
J82155,J82191,01/04/2013,01/04/2022,01/04/2013,01/10/2015
J82192,J82192,01/04/2013,01/10/2021,01/04/2013,01/10/2021
J82194,J82194,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82067,J82195,01/04/2013,01/04/2022,01/04/2013,01/04/2019
J82196,J82196,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82197,J82197,01/04/2013,01/03/2022,01/04/2013,01/03/2022
J82198,J82198,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82199,J82199,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82201,J82201,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82088,J82203,01/04/2013,01/04/2022,01/04/2013,01/01/2017
J82049,J82206,01/04/2013,01/04/2022,01/04/2013,01/04/2018
J82207,J82207,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82208,J82208,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82210,J82210,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82028,J82212,01/04/2013,01/04/2022,01/04/2013,01/06/2018
J82213,J82213,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82214,J82214,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82215,J82215,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82216,J82216,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82218,J82218,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82220,J82220,01/04/2013,01/02/2022,01/04/2013,01/02/2022
J82605,J82605,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82024,J82607,01/04/2013,01/04/2022,01/04/2013,01/10/2013
J82163,J82609,01/04/2013,01/04/2022,01/04/2013,01/04/2017
J82183,J82612,01/04/2013,01/04/2022,01/04/2013,01/07/2014
J82024,J82619,01/04/2013,01/04/2022,01/04/2013,01/04/2017
J82020,J82620,01/04/2013,01/04/2022,01/04/2013,01/07/2013
J82622,J82622,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82625,J82625,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82628,J82628,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82214,J82629,01/04/2013,01/04/2022,01/04/2013,01/04/2016
J82630,J82630,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82081,J82631,01/04/2013,01/04/2022,01/04/2013,01/10/2015
J82633,J82633,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82018,J82634,01/04/2013,01/04/2022,01/04/2013,01/04/2014
J82639,J82639,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82640,J82640,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82646,J82646,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82144,J82647,01/04/2013,01/04/2022,01/04/2013,01/01/2014
J82648,J82648,01/04/2013,01/04/2019,01/04/2013,01/04/2019
J82646,J82650,01/04/2013,01/04/2022,01/04/2013,01/07/2016
J82076,J82651,01/04/2013,01/04/2022,01/04/2013,01/04/2013
J82663,J82663,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82669,J82669,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J82220,J82688,01/04/2013,01/02/2022,01/04/2013,01/08/2017
J83001,J83001,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83002,J83002,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83003,J83003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83004,J83004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83005,J83005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83006,J83006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83007,J83007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83008,J83008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83009,J83009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83010,J83010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83011,J83011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83013,J83013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83014,J83014,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83016,J83016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83037,J83017,01/04/2013,01/04/2022,01/04/2013,01/08/2017
J83018,J83018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83019,J83019,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83026,J83020,01/04/2013,01/04/2022,01/04/2013,01/08/2017
J83021,J83021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83022,J83022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83023,J83023,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83024,J83024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83025,J83025,01/04/2013,01/06/2021,01/04/2013,01/06/2021
J83026,J83026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83027,J83027,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83016,J83028,01/04/2013,01/04/2022,01/04/2013,01/08/2017
J83029,J83029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83030,J83030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83031,J83031,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83026,J83032,01/04/2013,01/04/2022,01/04/2013,01/08/2017
J83033,J83033,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83034,J83034,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83035,J83035,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83036,J83036,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83037,J83037,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83038,J83038,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83039,J83039,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83040,J83040,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83041,J83041,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83042,J83042,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83043,J83043,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83016,J83044,01/04/2013,01/04/2022,01/04/2013,01/08/2017
J83045,J83045,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83046,J83046,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83047,J83047,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83048,J83048,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83049,J83049,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83050,J83050,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83052,J83052,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83053,J83053,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83002,J83054,01/04/2013,01/04/2022,01/04/2013,01/02/2018
J83055,J83055,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83056,J83056,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83057,J83057,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83058,J83058,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83059,J83059,01/04/2013,01/04/2022,01/04/2013,01/04/2022
J83060,J83060,01/04/2013,01/04/2022,01/04/2013,01/04/2022
